id,nombre,descripcion,color,colorlight,icon,documentos
mp4oal13gw2vpt4eyb,SUBSIDIO DE ARRIENDO REGULAR,"SUBSIDIO TOTAL 170 U.F, SE PUEDE POSTULAR SIMULTANEO",#B45309,#FEF9C3,A,"[{""nombre"":""CEDULA DE IDENTIDAD"",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":true},{""nombre"":""AHORRO DE LA VIVIENDA (4U.F)"",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":true},{""nombre"":""RSH MENOR O IGUAL AL 70%"",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":false},{""nombre"":""INGRESO FAMILIAR MAYOR A 7 U.F Y MENOR A 25 U.F."",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":false}]"
mp5ozvhmb19clbsa4a7,Programa de Prueba,,#7C3AED,#F5F3FF,P,"[{""nombre"":""Cédula de Identidad"",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":true},{""nombre"":""Ahorro de la Vivienda"",""obligatorio"":true,""etiquetaTexto"":"""",""requiereTexto"":false,""requiereArchivo"":true}]"
